C689443,FR0087,6.59,50000,22062021 10265600,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-IB-PT. BANK CENTRAL ASIA TBK-BMAS,CENADEPO,null,OR,50000,50835300000,1158150000
C689449,FR0087,6.59,50000,22062021 10271000,PT. BANK DANAMON INDONESIA  TBK,PT. BANK DANAMON INDONESIA  TBK,CR-IB-PT. BANK DANAMON INDONESIA  TBK-00,BDINDEPO,null,OR,50000,50835300000,1158150000
C689462,FR0087,6.59,30000,22062021 10275100,PT. BAHANA SEKURITAS,PT BANK CIMB NIAGA TBK,CR-SC-CUSTODIAN SERVICES BANKNIAGA - INVESTOR-Bahana C,BNIAINVT-DEPO,null,OR,30000,30501180000,694890000
C689484,FR0087,6.59,5000,22062021 10285200,PT. BANK ANZ INDONESIA,PT. BANK ANZ INDONESIA,CR-IB-PT. BANK ANZ INDONESIA-00,ANZBDEPO,null,OR,5000,5083530000,115815000
C689505,FR0087,6.59,250000,22062021 10294100,STANDCHART BANK,STANDCHART BANK,CR-IB-STANDCHART BANK-00,SCBLDEPO,null,OR,250000,254176500000,5790750000
C689600,FR0087,6.59,30000,22062021 10342000,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-SC-PT. BANK RAKYAT INDONESIA (PERSERO)  TBK-DANAREKSA SEK,BRINDEPO,null,OR,30000,30501180000,694890000
C689639,FR0087,6.59,30000,22062021 10355300,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-SC-PT. BANK CENTRAL ASIA TBK-PACIFIC SEKU,CENADEPO,null,OR,30000,30501180000,694890000
C689644,FR0087,6.59,255000,22062021 10355800,PT BANK CIMB NIAGA TBK,PT BANK CIMB NIAGA TBK,CR-IB-PT BANK CIMB NIAGA TBK-00,BNIADEPO,null,OR,255000,259260030000,5906565000
C689658,FR0087,6.59,400000,22062021 10363700,DEUTSCHE BANK  A.G.,DEUTSCHE BANK  A.G.,CR-IB-DEUTSCHE BANK  A.G.-00,DEUTDEPO,null,OR,400000,406682400000,9265200000
C689679,FR0087,6.59,400000,22062021 10374600,DEUTSCHE BANK  A.G.,DEUTSCHE BANK  A.G.,CR-IB-DEUTSCHE BANK  A.G.-00,DEUTDEPO,null,OR,400000,406682400000,9265200000
C689701,FR0087,6.59,250000,22062021 10393400,BRI DANAREKSA SEKURITAS,PT. BANK MANDIRI (PERSERO)  TBK,CR-IS-BANK MANDIRI SUB REGISTRY - INVESTOR-BPJS TK - JHT,BMRIINVT-DEPO,null,OR,250000,254176500000,5790750000
C689740,FR0087,6.59,250000,22062021 10434500,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-IB-PT. BANK RAKYAT INDONESIA (PERSERO)  TBK-00,BRINDEPO,null,OR,250000,254176500000,5790750000
C689760,FR0087,6.59,104200,22062021 10473900,PT. BANK PERMATA  TBK,PT. BANK PERMATA  TBK,CR-IB-PT. BANK PERMATA  TBK-00,BBBADEPO,null,OR,104200,105940765200,2413584600
